date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/10/6,2,1,89688529,십이월 이십오일의 고백,정승환,1,6082.0,514.0,2963768,878482
2019/12/10/7,2,-,89688529,십이월 이십오일의 고백,정승환,1,10608.0,1270.0,2974376,879752
2019/12/10/8,2,-,89688529,십이월 이십오일의 고백,정승환,1,30101.0,4237.0,3004477,883989
2019/12/10/9,2,-,89688529,십이월 이십오일의 고백,정승환,1,44048.0,6363.0,3048525,890352
2019/12/10/10,2,-,89688529,십이월 이십오일의 고백,정승환,1,28823.0,4298.0,3077348,894650
2019/12/10/11,3,1,89688529,십이월 이십오일의 고백,정승환,1,24947.0,3730.0,3102295,898380
2019/12/10/12,3,-,89688529,십이월 이십오일의 고백,정승환,1,21258.0,2826.0,3123553,901206
2019/12/10/13,4,1,89688529,십이월 이십오일의 고백,정승환,1,22124.0,2756.0,3145677,903962
2019/12/10/14,4,-,89688529,십이월 이십오일의 고백,정승환,1,22473.0,2490.0,3168150,906452
2019/12/10/15,4,-,89688529,십이월 이십오일의 고백,정승환,1,21895.0,2416.0,3190045,908868
2019/12/10/16,4,-,89688529,십이월 이십오일의 고백,정승환,1,21825.0,2335.0,3211870,911203
2019/12/10/17,4,-,89688529,십이월 이십오일의 고백,정승환,1,22073.0,2141.0,3233943,913344
2019/12/10/18,4,-,89688529,십이월 이십오일의 고백,정승환,1,24942.0,2502.0,3258885,915846
2019/12/10/19,4,-,89688529,십이월 이십오일의 고백,정승환,1,29350.0,3154.0,3288235,919000
2019/12/10/20,6,2,89688529,십이월 이십오일의 고백,정승환,1,23577.0,2450.0,3311812,921450
2019/12/10/21,7,1,89688529,십이월 이십오일의 고백,정승환,1,19398.0,1762.0,3331210,923212
2019/12/10/22,8,1,89688529,십이월 이십오일의 고백,정승환,1,18144.0,1709.0,3349354,924921
2019/12/10/23,8,-,89688529,십이월 이십오일의 고백,정승환,1,16655.0,1467.0,3366009,926388
2019/12/11/0,9,1,89688529,십이월 이십오일의 고백,정승환,1,13905.0,999.0,3379914,927387
2019/12/11/1,8,1,89688529,십이월 이십오일의 고백,정승환,1,10829.0,735.0,3390743,928122
2019/12/11/2,8,1,89688529,십이월 이십오일의 고백,정승환,1,8572.0,546.0,3399315,928668
2019/12/11/3,8,1,89688529,십이월 이십오일의 고백,정승환,1,6552.0,416.0,3405867,929084
2019/12/11/4,8,1,89688529,십이월 이십오일의 고백,정승환,1,5497.0,344.0,3411364,929428
2019/12/11/5,8,1,89688529,십이월 이십오일의 고백,정승환,1,4262.0,192.0,3415626,929620
2019/12/11/6,8,1,89688529,십이월 이십오일의 고백,정승환,1,4491.0,236.0,3420117,929856
2019/12/11/7,8,-,89688529,십이월 이십오일의 고백,정승환,1,7035.0,561.0,3427152,930417
2019/12/11/8,8,-,89688529,십이월 이십오일의 고백,정승환,1,18337.0,1559.0,3445489,931976
2019/12/11/9,8,-,89688529,십이월 이십오일의 고백,정승환,1,28247.0,2515.0,3473736,934491
2019/12/11/10,8,-,89688529,십이월 이십오일의 고백,정승환,1,19630.0,1898.0,3493366,936389
2019/12/11/11,8,-,89688529,십이월 이십오일의 고백,정승환,1,17730.0,1764.0,3511096,938153
2019/12/11/12,8,-,89688529,십이월 이십오일의 고백,정승환,1,16797.0,1657.0,3527893,939810
2019/12/11/13,8,-,89688529,십이월 이십오일의 고백,정승환,1,16407.0,1539.0,3544300,941349
2019/12/11/14,8,-,89688529,십이월 이십오일의 고백,정승환,1,17873.0,1702.0,3562173,943051
2019/12/11/15,8,-,89688529,십이월 이십오일의 고백,정승환,1,18812.0,2070.0,3580985,945121
2019/12/11/16,8,-,89688529,십이월 이십오일의 고백,정승환,1,17937.0,1643.0,3598922,946764
2019/12/11/17,11,3,89688529,십이월 이십오일의 고백,정승환,1,18723.0,1685.0,3617645,948449
2019/12/11/18,11,-,89688529,십이월 이십오일의 고백,정승환,1,19912.0,1582.0,3637557,950031
2019/12/11/19,11,-,89688529,십이월 이십오일의 고백,정승환,1,23017.0,1881.0,3660574,951912
2019/12/11/20,10,1,89688529,십이월 이십오일의 고백,정승환,1,19005.0,1466.0,3679579,953378
