sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
89493651,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,정규,2019.10.25,랩/힙합,랩,(주)밀리언마켓,Dreamus
89059750,BAND,창모 & Hash Swan & ASH ISLAND & 김효은,싱글,2019.06.08,랩/힙합,랩,앰비션뮤직,"지니뮤직, Stone Music Entertainment"
89602797,Lost in the Woods,Jonathan Groff,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89636332,맵고짜고단거 (Feat. 페노메코),다이나믹 듀오,정규,2019.11.26,랩/힙합,랩,서태지컴퍼니,"지니뮤직, Stone Music Entertainment"
88965638,Speechless (Full),Naomi Scott,OST,2019.05.22,팝,판타지,Walt Disney Records,유니버설뮤직코리아
88281290,Paris In The Rain,Lauv,정규,2018.10.08,팝,팝,뮤직테이블,NHN벅스
88947057,너에게 못했던 내 마지막 말은,다비치,싱글,2019.05.17,발라드,발라드,WAKEONE,지니뮤직
87506735,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals,정규,2018.12.14,일렉트로닉,하우스,MER Recordings,Sony Music
89148225,헤어져줘서 고마워,벤,싱글,2019.07.03,발라드,발라드,메이저나인,지니뮤직
88707240,노래방에서,장범준,정규,2019.03.21,댄스/팝,팝 락,(주)버스커버스커,카카오엔터테인먼트
89431271,떨어지는 낙엽까지도,헤이즈 (Heize),EP(미니),2019.10.13,알앤비/소울,알앤비,Stone Music Entertainment / Studio blu,지니뮤직
88703035,On My Way,Alan Walker & Sabrina Carpenter & Farruko,싱글,2019.03.21,일렉트로닉,하우스,MER Recordings,Sony Music
88501296,그때가 좋았어,케이시 (Kassy),싱글,2018.12.31,발라드,발라드,넥스타엔터테인먼트,카카오엔터테인먼트
89059621,솔직하게 말해서 나,김나영,싱글,2019.06.09,발라드,발라드,네버랜드 엔터테인먼트,카카오엔터테인먼트
89693976,SUGA's Interlude,Halsey & SUGA & BTS,싱글,2019.12.06,팝,팝,Capitol Records,유니버설뮤직코리아
89310681,Done For Me,펀치 (Punch),OST,2019.08.18,발라드,발라드,냠냠엔터테인먼트,Dreamus
89520184,영화 속에 나오는 주인공처럼,펀치 (Punch),OST,2019.10.31,발라드,발라드,"㈜팬엔터테인먼트, 모스트콘텐츠",NHN벅스
89690942,Wake Up (Feat. DEAN),Crush,정규,2019.12.05,알앤비/소울,알앤비,피네이션,Dreamus
86380457,비,폴킴,싱글,2016.06.21,알앤비/소울,알앤비,뉴런뮤직,카카오엔터테인먼트
87957296,열애중,벤,정규,2018.05.08,발라드,발라드,메이저나인,지니뮤직
89602799,The Next Right Thing,Kristen Bell,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
86100727,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),싱글,2016.03.30,발라드,발라드,H PERFORMANCE,주식회사 퍼플파인 엔터테인먼트
89690612,버르장멋 (Feat. 김응수 a.k.a 멋이간놈),머쉬베놈 (MUSHVENOM),싱글,2019.12.07,인디,랩,"Stone Music Entertainment, 멋이밴놈",지니뮤직
87034188,밤편지,아이유 (IU),싱글,2017.03.24,발라드,발라드,"카카오엔터테인먼트, ㈜페이브엔터테인먼트",카카오엔터테인먼트
89238786,나의 어깨에 기대어요,10CM,싱글,2019.07.20,발라드,발라드,냠냠엔터테인먼트,Dreamus
88074702,Way Back Home,숀 (SHAUN),EP(미니),2018.06.27,인디,일렉트로닉 팝,디씨톰엔터테인먼트,워너뮤직코리아
89690946,티격태격 (Feat. DPR LIVE),Crush,정규,2019.12.05,알앤비/소울,알앤비,피네이션,Dreamus
88686378,주저하는 연인들을 위해,잔나비,정규,2019.03.13,인디,인디 락,페포니 뮤직,카카오엔터테인먼트
89675402,제설,기리보이,정규,2019.12.02,랩/힙합,랩,린치핀뮤직㈜,카카오엔터테인먼트
87628996,미안해,양다일,정규,2017.12.29,발라드,발라드,브랜뉴뮤직,카카오엔터테인먼트
89696753,나무(초콜릿 OST Ver.),카더가든,OST,2019.12.07,댄스/팝,TV 드라마,JTBC콘텐트허브,워너뮤직코리아
89602800,Into the Unknown (Panic! At The Disco Ver.),Panic! At The Disco,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89290483,내 목소리 들리니,벤,OST,2019.08.11,발라드,발라드,냠냠엔터테인먼트,Dreamus
89374289,Memories,Maroon 5,싱글,2019.09.27,팝,팝,Sing2Music Productions Pty Ltd,FUGA
89378490,나만 아픈 일,이해리 (다비치),싱글,2019.09.23,발라드,발라드,Stone Music Entertainment,지니뮤직
88323996,Comethru,Jeremy Zucker,싱글,2020.05.08,팝,팝,Sing2Music Productions Pty Ltd,FUGA
89369155,가끔 이러다,펀치 (Punch),싱글,2019.09.18,알앤비/소울,알앤비,냠냠엔터테인먼트,Dreamus
86941521,봄날,방탄소년단,정규,2017.02.13,댄스/팝,댄스 팝,BIGHIT MUSIC,YG PLUS
89688528,"안녕, 겨울",정승환,싱글,2019.12.05,발라드,발라드,안테나,카카오엔터테인먼트
89391731,천둥벌거숭이 (Feat. Jvcki Wai & 염따),지코 (ZICO),정규,2019.09.30,랩/힙합,힙합,KOZ 엔터테인먼트,카카오엔터테인먼트
86925465,Believer,Imagine Dragons,EP(미니),2018.06.29,메탈,OST,CD Baby,케이디지털미디어
88824340,FANCY,TWICE (트와이스),EP(미니),2019.04.22,댄스/팝,댄스 팝,JYP엔터테인먼트,Dreamus
88286541,삐삐,아이유 (IU),싱글,2018.10.10,랩/힙합,알앤비,카카오엔터테인먼트,카카오엔터테인먼트
89395022,우리 어떻게 할까요,첸 (CHEN),EP(미니),2019.10.01,발라드,발라드,SM ENTERTAINMENT,Dreamus
89669339,마음,폴킴,싱글,2019.11.29,알앤비/소울,알앤비,뉴런뮤직,카카오엔터테인먼트
