sing_id,artist_name,artist_url,유형,국적,장르,데뷔
91069925,정효빈,https://music.bugs.co.kr/artist/80330160?wl_ref=S_ab_01_02,솔로(여성),대한민국,"인디,발라드",
81509395,XIA(준수),https://music.bugs.co.kr/artist/80001104?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",2004.0
91091923,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91070177,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91070178,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91070179,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91070180,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91070182,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91070181,세븐틴(SEVENTEEN),https://music.bugs.co.kr/artist/80232283?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2015.0
91091925,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91070804,B1A4,https://music.bugs.co.kr/artist/80098436?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2011.0
91091924,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091926,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91070863,이달의소녀,https://music.bugs.co.kr/artist/80272163?wl_ref=S_ab_01_02,그룹(여성),대한민국,댄스/팝,2016.0
91091927,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091928,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091929,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091930,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091931,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091932,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91091934,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91070805,B1A4,https://music.bugs.co.kr/artist/80098436?wl_ref=S_ab_01_02,그룹(남성),대한민국,댄스/팝,2011.0
91028633,CashCash(캐쉬캐쉬),https://music.bugs.co.kr/artist/80079325?wl_ref=S_ab_01_02,그룹(남성),미국,일렉트로닉,2008.0
91091933,임창정,https://music.bugs.co.kr/artist/1958?wl_ref=S_ab_01_02,솔로(남성),대한민국,"댄스/팝,발라드",1995.0
91069696,Crush,https://music.bugs.co.kr/artist/80142603?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2012.0
91096604,마마무(Mamamoo),https://music.bugs.co.kr/artist/80177857?wl_ref=S_ab_01_02,그룹(여성),대한민국,"댄스/팝,알앤비/소울",
91069697,Crush,https://music.bugs.co.kr/artist/80142603?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2012.0
91069699,Crush,https://music.bugs.co.kr/artist/80142603?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2012.0
91069698,Crush,https://music.bugs.co.kr/artist/80142603?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2012.0
91069700,Crush,https://music.bugs.co.kr/artist/80142603?wl_ref=S_ab_01_02,솔로(남성),대한민국,알앤비/소울,2012.0
91096279,So!YoON!(황소윤),https://music.bugs.co.kr/artist/80282121?wl_ref=S_ab_01_02,솔로(여성),대한민국,"인디,알앤비/소울",
91096279,PhumViphurit,https://music.bugs.co.kr/artist/10599597?wl_ref=S_ab_01_02,솔로(남성),타이,팝,
91095339,딕펑스(DICKPUNKS),https://music.bugs.co.kr/artist/80064099?wl_ref=S_ab_01_02,그룹(남성),대한민국,"댄스/팝,락/메탈",2010.0
91096860,먼데이키즈(MondayKiz),https://music.bugs.co.kr/artist/80013501?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2005.0
91096477,윤딴딴,https://music.bugs.co.kr/artist/80181051?wl_ref=S_ab_01_02,솔로(남성),대한민국,"인디,포크/어쿠스틱",2014.0
91040825,킹기훈,https://music.bugs.co.kr/artist/80341230?wl_ref=S_ab_01_02,솔로(남성),대한민국,일렉트로닉,
91040825,문찬2,https://music.bugs.co.kr/artist/80341231?wl_ref=S_ab_01_02,솔로(남성),대한민국,일렉트로닉,
91040825,빡성민,https://music.bugs.co.kr/artist/80341232?wl_ref=S_ab_01_02,솔로(남성),대한민국,일렉트로닉,
86611657,에픽하이(EPIKHIGH),https://music.bugs.co.kr/artist/65269?wl_ref=S_ab_01_02,그룹(남성),대한민국,랩/힙합,2003.0
87629003,양다일,https://music.bugs.co.kr/artist/80110772?wl_ref=S_ab_01_02,솔로(남성),대한민국,"발라드,알앤비/소울",2011.0
90567079,24KGoldn,https://music.bugs.co.kr/artist/80327336?wl_ref=S_ab_01_02,솔로(남성),,랩/힙합,
82609422,정키(JungKey),https://music.bugs.co.kr/artist/80110771?wl_ref=S_ab_01_02,솔로(남성),대한민국,"발라드,알앤비/소울",2011.0
91097571,린(LYn),https://music.bugs.co.kr/artist/32151?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,2002.0
91102242,HYNN(박혜원),https://music.bugs.co.kr/artist/20073083?wl_ref=S_ab_01_02,솔로(여성),대한민국,발라드,
91105304,박원,https://music.bugs.co.kr/artist/80069220?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2010.0
91105302,박원,https://music.bugs.co.kr/artist/80069220?wl_ref=S_ab_01_02,솔로(남성),대한민국,발라드,2010.0
91105300,OuiOui(위위),https://music.bugs.co.kr/artist/20053530?wl_ref=S_ab_01_02,듀오(여성),대한민국,"인디,알앤비/소울",2018.0
